region,sector,Scope 1,Scope 2,Scope 3,Total lifecycle
AT,Cultivation of paddy rice,0.0,0.0,0.0,0.0
AT,Cultivation of wheat,1110681.9051608539,1528.6123567522527,176348.99460575441,1288559.5121233605
AT,Cultivation of cereal grains nec,657568.0399547508,1308.2811048736094,123195.62131390537,782071.9423735298
AT,"Cultivation of vegetables, fruit, nuts",71839.97158357759,3779.3953372120213,82698.52260048235,158317.88952127195
AT,Cultivation of oil seeds,475578.7653536121,578.4013700254691,74158.12068033736,550315.2874039749
AT,"Cultivation of sugar cane, sugar beet",699208.8936829576,445.6761014422798,162696.15039465533,862350.7201790552
AT,Cultivation of plant-based fibers,196217.09725311803,1096.8225987998153,407988.23446459975,605302.1543165176
AT,Cultivation of crops nec,1774864.7012264782,2684.983359446165,235720.50432635716,2013270.1889122815
AT,Cattle farming,3252363.215625304,13727.374720156597,394836.1556577958,3660926.746003256
AT,Pigs farming,474741.5243060585,2625.1425066991205,188239.03435770413,665605.7011704617
AT,Poultry farming,245664.60361021452,5950.659903241559,169047.51644815117,420662.77996160724
AT,Meat animals nec,5687410.61373363,233.7004443139804,41531.7976168056,5729176.111794749
AT,Animal products nec,62077.14655118269,196.56429472890528,40988.39364162805,103262.10448753965
AT,Raw milk,1449435.885591275,3326.282862057953,218127.62649984815,1670889.7949531812
AT,"Wool, silk-worm cocoons",3345.9061431380223,1526.8279368219728,434817.2381201929,439689.9722001529
AT,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0
AT,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0
AT,"Forestry, logging and related service activities (02)",86816.10013137467,1084.9339872451083,148865.284954887,236766.31907350678
AT,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",3586.2090047653396,3036.1637630646824,211549.82584461695,218172.19861244698
AT,Mining of coal and lignite; extraction of peat (10),24932077.54138001,786.4462135443953,164134.22722101485,25096998.21481457
AT,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",913472.5301934315,1372.8157225109755,46628.66322524467,961474.0091411872
AT,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1704670.2552078436,850.778503676756,31005.449938391455,1736526.4836499118
AT,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0,0.0
AT,Mining of uranium and thorium ores (12),0.0,0.0,0.0,0.0
AT,Mining of iron ores,110232.8171802033,2859.151439237039,85480.67235953319,198572.64097897353
AT,Mining of copper ores and concentrates,0.0,0.0,0.0,0.0
AT,Mining of nickel ores and concentrates,18339.447933258998,0.0,0.0,18339.447933258998
AT,Mining of aluminium ores and concentrates,262410.2776957683,0.0,0.0,262410.2776957683
AT,Mining of precious metal ores and concentrates,161602.2065800062,0.0,0.0,161602.2065800062
AT,"Mining of lead, zinc and tin ores and concentrates",37950.801290030475,0.0,0.0,37950.801290030475
AT,Mining of other non-ferrous metal ores and concentrates,16657.957679483752,77.70881372880821,21307.335248632644,38043.001741845204
AT,Quarrying of stone,39861.727801810404,158.95743363710875,59232.13753002745,99252.82276547496
AT,Quarrying of sand and clay,38874.94395247352,896.9657876889041,95249.97353995213,135021.88328011456
AT,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",26222.239693415973,500.0633598961357,111752.20744476026,138474.51049807237
AT,Processing of meat cattle,32507.15559313895,2653.286083086648,1107512.9473108132,1142673.3889870388
AT,Processing of meat pigs,33254.219987838216,1485.9538769175265,358612.85193570645,393353.02580046223
AT,Processing of meat poultry,33713.7336049716,61.62342116068848,21139.399575641462,54914.756601773755
AT,Production of meat products nec,42814.17023460066,113.34332128206637,34859.60996522307,77787.1235211058
AT,Processing vegetable oils and fats,47065.01759767086,188.9705626932454,44062.20999684493,91316.19815720904
AT,Processing of dairy products,41907.00533421394,2502.3563779642195,517571.84770499176,561981.2094171699
AT,Processed rice,600628.5024228615,378.38885163848545,154048.32941677322,755055.2206912732
AT,Sugar refining,37245.574281323454,232.38433375760405,204833.78127697567,242311.73989205674
AT,Processing of Food products nec,35029.90170434534,1683.0628857790637,429585.13544999354,466298.100040118
AT,Manufacture of beverages,46827.7657882279,5509.58546198438,249429.0531482082,301766.4043984205
AT,Manufacture of fish products,392435.93614836835,1410.6770163636374,325112.597925492,718959.211090224
AT,Manufacture of tobacco products (16),60165.23813625405,4238.76851898781,263911.8084313137,328315.8150865556
AT,Manufacture of textiles (17),37808.94453192922,4157.769311503034,249018.66776788165,290985.3816113139
AT,Manufacture of wearing apparel; dressing and dyeing of fur (18),32125.925748526588,818.3518903541935,152323.83129623695,185268.10893511772
AT,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",4176.307060948648,3072.4919573038496,214127.7243778864,221376.5233961389
AT,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",41953.748460678245,4701.444250115723,236642.06622409882,283297.2589348928
AT,Re-processing of secondary wood material into new wood material,57830.80793737033,4872.55886167231,229239.30460407602,291942.67140311864
AT,Pulp,139694.1389013199,520.339843386266,121971.3942468829,262185.8729915891
AT,Re-processing of secondary paper into new pulp,104924.56419366198,305.3166549716965,96529.53982765172,201759.4206762854
AT,Paper,121806.39229994608,379.25966620316086,357467.4282216547,479653.080187804
AT,"Publishing, printing and reproduction of recorded media (22)",137303.92665573713,716.1649923947293,138222.99151911083,276243.0831672427
AT,Manufacture of coke oven products,7478784.044951218,167.1378763498803,2052850.421664297,9531801.604491865
AT,Petroleum Refinery,635397.8567972017,2390.861898073423,1101453.7649645717,1739242.483659847
AT,Processing of nuclear fuel,19372580.60562813,1033.808284680709,460793.28883055283,19834407.702743363
AT,"Plastics, basic",159752.5824886864,173.748661545699,98694.36804780374,258620.69919803584
AT,Re-processing of secondary plastic into new plastic,191469.87340166647,167.98910653582394,92601.94420025122,284239.8067084535
AT,N-fertiliser,320787.48850427126,10065.92837715123,219662.79948572433,550516.2163671468
AT,P- and other fertiliser,539929.2340553986,8682.286736266016,157667.3225918342,706278.8433834988
AT,Chemicals nec,243309.30336989104,17914.730918472884,232887.62416441896,494111.6584527829
AT,Manufacture of rubber and plastic products (25),934.8101486390548,3100.857825382465,198924.84761759013,202960.51559161165
AT,Manufacture of glass and glass products,484007.7127175682,3997.5885164871997,261909.53352712598,749914.8347611814
AT,Re-processing of secondary glass into new glass,433061.7554495661,5545.308050006234,227851.36447605467,666458.427975627
AT,Manufacture of ceramic goods,455565.7292166256,3552.1325980977654,225185.54516940398,684303.4069841274
AT,"Manufacture of bricks, tiles and construction products, in baked clay",372394.0709339504,1822.0186842221844,223767.78362776595,597983.8732459386
AT,"Manufacture of cement, lime and plaster",742652.916908753,2433.0546632315054,329601.4633738375,1074687.434945822
AT,Re-processing of ash into clinker,735983.0588487616,1136.6320992091426,318326.1640866882,1055445.855034659
AT,Manufacture of other non-metallic mineral products n.e.c.,614454.7881810047,8899.94912014175,275563.35724613135,898918.0945472778
AT,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,368088.0725943758,4120.177681044692,481606.4735395814,853814.7238150019
AT,Re-processing of secondary steel into new steel,517317.12245033716,14258.354552964998,418334.02077673184,949909.497780034
AT,Precious metals production,57207.16818536574,3697.3645966777576,328539.4349726462,389443.9677546897
AT,Re-processing of secondary preciuos metals into new preciuos metals,0.0,0.0,0.0,0.0
AT,Aluminium production,32761.92397694107,12371.00371529002,304171.2112518264,349304.1389440575
AT,Re-processing of secondary aluminium into new aluminium,30131.88678058708,763.6922085862758,263277.74846566975,294173.3274548431
AT,"Lead, zinc and tin production",29976.411278026215,321.3589816768936,374746.05325334024,405043.82351304335
AT,"Re-processing of secondary lead into new lead, zinc and tin",29117.966307833147,324.3768805072592,378481.4908144974,407923.83400283783
AT,Copper production,30742.11483515996,883.9629366463192,316299.6252004602,347925.7029722665
AT,Re-processing of secondary copper into new copper,30752.563092650806,1544.704661165181,322891.9918769548,355189.2596307708
AT,Other non-ferrous metal production,34956.95826831722,5251.670098710175,295695.2035066486,335903.831873676
AT,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,0.0,0.0,0.0,0.0
AT,Casting of metals,314134.71807074774,1395.935072811512,478833.09357629716,794363.7467198564
AT,"Manufacture of fabricated metal products, except machinery and equipment (28)",10948.746946642459,1698.203009576609,245540.3555737835,258187.30553000257
AT,Manufacture of machinery and equipment n.e.c. (29),10825.219388708447,2305.694651940262,237402.3772935791,250533.2913342278
AT,Manufacture of office machinery and computers (30),27211.2200305237,1347.2196687439364,127396.21214266041,155954.65184192805
AT,Manufacture of electrical machinery and apparatus n.e.c. (31),9876.162215422226,2569.842981122465,209779.1462395051,222225.15143604978
AT,"Manufacture of radio, television and communication equipment and apparatus (32)",10616.08943747011,3387.9156558362847,208266.68740713064,222270.69250043703
AT,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",41886.285599394454,880.596845809066,105397.77421652299,148164.6566617265
AT,"Manufacture of motor vehicles, trailers and semi-trailers (34)",4852.0809911228625,2119.5243453688686,276092.8554720424,283064.4608085341
AT,Manufacture of other transport equipment (35),4756.0860499360915,764.5584985542916,164228.79644179475,169749.44099028513
AT,Manufacture of furniture; manufacturing n.e.c. (36),16024.928587084678,1115.337221102665,148694.2061961269,165834.47200431424
AT,Recycling of waste and scrap,14068.013694252833,1970.6692073118422,90634.80949064961,106673.49239221429
AT,Recycling of bottles by direct reuse,31555.108626755304,202.26306932189618,129920.04378154577,161677.41547762297
AT,Production of electricity by coal,3404979.73632928,652.1084881155298,1772920.5460194414,5178552.390836837
AT,Production of electricity by gas,521168.4792430933,510.2435838106682,1978929.178317909,2500607.901144813
AT,Production of electricity by nuclear,0.0,0.0,0.0,0.0
AT,Production of electricity by hydro,818.9774936206735,509.8015040634607,326520.2077955006,327848.9867931847
AT,Production of electricity by wind,213485.75480666137,468.0216163652333,342979.82290141267,556933.5993244393
AT,Production of electricity by petroleum and other oil derivatives,906712.8024048128,444.12422220123483,1930075.7190327805,2837232.6456597946
AT,Production of electricity by biomass and waste,696031.3057350426,427.8684753813136,1909221.4510215896,2605680.6252320134
AT,Production of electricity by solar photovoltaic,462755.2538026015,372.0333039266966,256649.21845588542,719776.5055624136
AT,Production of electricity by solar thermal,0.0,0.0,0.0,0.0
AT,"Production of electricity by tide, wave, ocean",0.0,0.0,0.0,0.0
AT,Production of electricity by Geothermal,89746.96853350951,1530.3425744881902,528962.9301237819,620240.2412317796
AT,Production of electricity nec,2.9566005157111596e-05,820.7422020306087,1153999.5751321316,1154820.317363728
AT,Transmission of electricity,30839.38932212759,39771.44940002184,666343.1700175984,736954.0087397478
AT,Distribution and trade of electricity,3.9948450439179504e-07,52645.70092771878,727225.2486477845,779870.9495759028
AT,Manufacture of gas; distribution of gaseous fuels through mains,1416589.0006997245,233642.37410777822,933372.4166822674,2583603.79148977
AT,Steam and hot water supply,4281612.961135003,14626.854314820852,2376316.551937313,6672556.367387136
AT,"Collection, purification and distribution of water (41)",85220.28447932562,1223.748963241174,81459.73733393471,167903.7707765015
AT,Construction (45),23264.22555039012,1041.0357828756134,226080.22475537215,250385.48608863787
AT,Re-processing of secondary construction material into aggregates,256200.1000723143,1163.286554611113,25651.123605218745,283014.51023214415
AT,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",3911.464924903882,484.17570926880126,80102.84818696698,84498.48882113966
AT,Retail sale of automotive fuel,139360.7451686194,515.7352276204728,144015.18393462323,283891.6643308631
AT,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",43560.657035283206,159.68411644107286,101693.4381286434,145413.7792803677
AT,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",105239.63657056399,38.47457199099631,8646.347625603014,113924.458768158
AT,Hotels and restaurants (55),6741.543893826271,992.2438926981664,99924.458741789,107658.24652831344
AT,Transport via railways,146287.30280334142,720.8314680058384,188717.536201183,335725.67047253024
AT,Other land transport,19848.41361534649,526.4399332359044,99259.44852307865,119634.30207166105
AT,Transport via pipelines,744370.9710153878,1183.5913960997348,1619112.290314696,2364666.8527261834
AT,Sea and coastal water transport,11339401.446628118,384.3445198995155,166220.48647749674,11506006.277625514
AT,Inland water transport,623272.6220905328,129.58558558488633,139754.16076400838,763156.3684401261
AT,Air transport (62),965447.7849365426,141.42168809122307,245851.91884416252,1211441.1254687964
AT,Supporting and auxiliary transport activities; activities of travel agencies (63),3929.8750050376084,187.8907812338885,73256.65253094409,77374.41831721559
AT,Post and telecommunications (64),3379.4768532551857,128.6609088361426,45782.502083200714,49290.63984529204
AT,"Financial intermediation, except insurance and pension funding (65)",3628.8001667770877,493.3993715737314,74773.51072383083,78895.71026218164
AT,"Insurance and pension funding, except compulsory social security (66)",3713.1900982720945,413.46234437191526,109678.07652665219,113804.72896929621
AT,Activities auxiliary to financial intermediation (67),3663.4119817048568,291.80810515137364,93820.81935723267,97776.0394440889
AT,Real estate activities (70),3653.7654208296026,772.9142624865431,106579.57359590002,111006.25327921617
AT,Renting of machinery and equipment without operator and of personal and household goods (71),3871.8323819782004,95.58993946784612,44648.05714032873,48615.47946177478
AT,Computer and related activities (72),3728.3123395013117,634.2870655249051,82948.5586142711,87311.1580192973
AT,Research and development (73),6682.014156511098,1293.1477484230384,140393.7652295544,148368.92713448856
AT,Other business activities (74),4233.046710795966,925.8861225805997,99244.47860880758,104403.41144218415
AT,Public administration and defence; compulsory social security (75),5735.298908068491,1357.679680707347,93509.44139814122,100602.41998691706
AT,Education (80),11258.639583382519,3491.6337645865215,109538.02367507142,124288.29702304048
AT,Health and social work (85),12464.021595118702,3059.689339083039,133864.3386039403,149388.04953814205
AT,Incineration of waste: Food,16980.262683219673,1352.5633917254431,495716.88944624044,514049.71552118554
AT,Incineration of waste: Paper,17958.209624417643,1378.8986829590494,504828.29187857406,524165.40018595074
AT,Incineration of waste: Plastic,353179.67377868644,1416.6357476620096,518448.05508518586,873044.3646115343
AT,Incineration of waste: Metals and Inert materials,348441.17421627505,1426.7951407662993,523091.35545782465,872959.324814866
AT,Incineration of waste: Textiles,347466.09695222846,1249.7429030604515,450377.83216418343,799093.6720194723
AT,Incineration of waste: Wood,16040.473554782739,1316.4507488804543,477008.5230867208,494365.447390384
AT,Incineration of waste: Oil/Hazardous waste,124196.24005267564,1391.1467440592405,507001.68704100803,632589.0738377429
AT,"Biogasification of food waste, incl. land application",4657.826657601116,892.3491091217675,438867.59172178316,444417.76748850604
AT,"Biogasification of paper, incl. land application",3541.186175196882,820.0234594156683,331044.1629400138,335405.37257462635
AT,"Biogasification of sewage slugde, incl. land application",4388.279544928505,877.0437085700323,430907.0682533114,436172.3915068099
AT,"Composting of food waste, incl. land application",1134111.6291179997,2155.3884052528565,529519.8678119866,1665786.885335239
AT,"Composting of paper and wood, incl. land application",3729.3735160077536,2482.3146274923415,590823.0069711002,597034.6951146004
AT,"Waste water treatment, food",80615.39139095206,1429.5859601360535,472888.2720690663,554933.2494201544
AT,"Waste water treatment, other",159571.97656731217,1439.496533502656,490443.2594299515,651454.7325307663
AT,Landfill of waste: Food,1429523.6371400298,719.7958664493385,444263.8565419789,1874507.289548458
AT,Landfill of waste: Paper,944842.5384393958,719.4264582549179,445096.6886104378,1390658.6535080886
AT,Landfill of waste: Plastic,185115.01620565107,675.3745846487143,384594.702286988,570385.0930772878
AT,Landfill of waste: Inert/metal/hazardous,10571.81474094699,757.2605264997879,474262.1663702191,485591.24163766584
AT,Landfill of waste: Textiles,450888.9545570843,786.655406149107,343079.53280888434,794755.1427721177
AT,Landfill of waste: Wood,340507.09903842595,678.0702795173653,405775.47912026796,746960.6484382113
AT,Activities of membership organisation n.e.c. (91),12808.374542538388,3265.2501824564065,179325.70525527993,195399.32998027472
AT,"Recreational, cultural and sporting activities (92)",4532.276317412833,2748.4366592212423,110212.31607057733,117493.02904721141
AT,Other service activities (93),6653.389815908111,978.2290248968347,72656.01305835757,80287.63189916252
AT,Private households with employed persons (95),3160.171584640737,0.002195487187307159,201.74439094822623,3361.9181710761504
AT,Extra-territorial organizations and bodies,0.0,0.0,0.0,0.0
BE,Cultivation of paddy rice,0.0,0.0,0.0,0.0
BE,Cultivation of wheat,7246800.223819989,3406.0027118191592,403816.7208384288,7654022.947370237
BE,Cultivation of cereal grains nec,1161600.0561189714,1888.0305491962322,238258.16143122787,1401746.2480993955
BE,"Cultivation of vegetables, fruit, nuts",245598.04540313446,7852.364015891907,216069.7006981355,469520.1101171619
BE,Cultivation of oil seeds,18387330.57678812,1488.9699526234185,1047929.0178860136,19436748.564626757
BE,"Cultivation of sugar cane, sugar beet",1882445.3236323348,1830.849597120117,263021.311563938,2147297.484793393
BE,Cultivation of plant-based fibers,28889312.174534407,4198.213445768536,1786215.4913926974,30679725.879372872
BE,Cultivation of crops nec,358639.1939648864,3367.874104579625,322781.62797639344,684788.6960458595
BE,Cattle farming,3145281.2124719457,11173.63630834301,437373.5983728209,3593828.4471531096
BE,Pigs farming,1216523.3553634984,12496.941543101035,414115.0675068973,1643135.3644134968
BE,Poultry farming,1203664.230618901,8639.849995203618,243089.1672242898,1455393.2478383945
BE,Meat animals nec,62061360.498510845,471.18361640473756,92302.64355621734,62154134.32568347
BE,Animal products nec,403827.96779365686,324.84867372503237,113721.60633794521,517874.4228053271
BE,Raw milk,1959960.6159624155,26058.53092019898,320349.2952126494,2306368.442095264
BE,"Wool, silk-worm cocoons",4208659.655920314,12647.046915191208,2115384.0723044975,6336690.775140002
BE,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0,0.0
BE,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0,0.0
BE,"Forestry, logging and related service activities (02)",609567.3183051766,735.2356513549915,486280.94039432297,1096583.4943508545
BE,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",468046.85604854743,694.1792256805261,377252.3531714169,845993.3884456449
BE,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",191149857.42933217,0.0,0.0,191149857.42933217
BE,Mining of uranium and thorium ores (12),10390609.714011336,0.0,0.0,10390609.714011336
BE,Mining of iron ores,0.0,0.0,0.0,0.0
BE,Mining of nickel ores and concentrates,1702903448.8532386,0.0,0.0,1702903448.8532386
BE,Mining of aluminium ores and concentrates,2418657352.7849536,0.0,0.0,2418657352.7849536
BE,Mining of precious metal ores and concentrates,1340732633.0282037,0.0,0.0,1340732633.0282037
BE,Mining of other non-ferrous metal ores and concentrates,3525948.5325008365,187255.30593299126,13774849.387982469,17488053.226416297
BE,Quarrying of stone,385116.1181234586,714.5995377775575,182700.2926820695,568531.0103433057
BE,Quarrying of sand and clay,516302.84945538413,15382.619995097017,346648.86801721924,878334.3374677004
BE,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",200999.444580408,22432.85862547422,393488.24487233255,616920.5480782147
BE,Processing of meat cattle,128003.67367735598,146800.8872792854,1392859.5302623499,1667664.0912189912
BE,Processing of meat pigs,75410.39394981954,9629.120507218118,859442.0793560038,944481.5938130415
BE,Processing of meat poultry,60501.639962876776,2492.790105424972,39199.25470764027,102193.68477594202
BE,Production of meat products nec,60553.56295894928,1986.686127690332,235860.84742149606,298401.09650813567
BE,Processing vegetable oils and fats,65904.53210509475,2723.6469189807794,120382.71992079221,189010.89894486775
BE,Processing of dairy products,61362.26166706634,33302.80414920052,612461.3555568212,707126.4213730881
BE,Processed rice,416757.7450930992,561.5581411486637,11516.926044695647,428836.2292789435
BE,Sugar refining,62459.06580500888,5383.609989810617,705174.7319869413,773017.4077817608
BE,Processing of Food products nec,62420.38320679292,26448.83621533335,598703.9495753994,687573.1689975256
BE,Manufacture of beverages,61105.96736383246,97364.92966292473,440952.35803481797,599423.2550615752
BE,Manufacture of fish products,88322.24016610264,29276.58399598488,713375.94781959,830974.7719816775
BE,Manufacture of tobacco products (16),85487.75917090995,20618.17654951021,339964.6972515276,446070.6329719478
BE,Manufacture of textiles (17),33411.77628864838,30942.231423855905,696940.1131923693,761294.1209048736
BE,Manufacture of wearing apparel; dressing and dyeing of fur (18),98248.40183065216,118.84462412434885,185230.41563653114,283597.66209130763
BE,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",27792.069884877834,2413.060454309666,64125.99917396652,94331.12951315401
BE,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",29092.312012074617,24394.549845615646,459008.3358785884,512495.19773627864
BE,Re-processing of secondary wood material into new wood material,75315.71093851318,20434.486493957764,442954.08606893703,538704.283501408
BE,Pulp,81777.5645342579,19932.93609103748,253773.14549307886,355483.64611837425
BE,Re-processing of secondary paper into new pulp,79931.24856092935,8179.8728782032385,256122.99519927084,344234.1166384034
BE,Paper,56662.04494591619,5546.379883194794,400095.73940317915,462304.1642322901
BE,"Publishing, printing and reproduction of recorded media (22)",36333.06303086995,22732.774925175523,203160.6993719021,262226.53732794756
BE,Manufacture of coke oven products,1364017.5431072272,3762.0963753138467,884928.1851972463,2252707.8246797873
BE,Petroleum Refinery,183510.96283117865,23065.933031707475,756404.5996272545,962981.4954901406
BE,Processing of nuclear fuel,1726.0915204810387,82.51621004090813,737902.9031396799,739711.5108702019
BE,"Plastics, basic",438714.22856253607,1512.747556808256,239229.94636716743,679456.9224865118
BE,Re-processing of secondary plastic into new plastic,164250.60732600425,650.733070180349,157947.02240855497,322848.36280473956
BE,N-fertiliser,492616.4554670502,59497.57827580656,404890.55101646174,957004.5847593185
BE,P- and other fertiliser,542075.2717808185,81048.85431413898,348017.421458998,971141.5475539555
BE,Chemicals nec,235356.01214775545,99820.4360133468,431295.1488459057,766471.5970070079
BE,Manufacture of rubber and plastic products (25),1433.0283311098474,8130.646547961558,415365.7504882267,424929.4253672981
BE,Manufacture of glass and glass products,704274.022147361,20909.970855192987,477099.2744828495,1202283.2674854035
BE,Re-processing of secondary glass into new glass,1220601.76518963,34218.61492791488,318006.86500389694,1572827.2451214418
BE,Manufacture of ceramic goods,692422.0113867664,19062.88517574007,473489.5045576735,1184974.40112018
BE,"Manufacture of bricks, tiles and construction products, in baked clay",528531.4136930535,14420.99399111951,557703.3871126295,1100655.7947968026
BE,"Manufacture of cement, lime and plaster",1823112.6643417792,37582.738399859634,709050.1982149641,2569745.600956603
BE,Re-processing of ash into clinker,1915493.3039101898,17220.671549501596,695170.5044635523,2627884.4799232436
BE,Manufacture of other non-metallic mineral products n.e.c.,442063.3142444812,41719.002204112054,482822.3652192067,966604.6816678
BE,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,460518.62382138346,41697.53267117361,779710.6321460005,1281926.7886385575
BE,Re-processing of secondary steel into new steel,394823.65736516594,158317.2076361873,647671.3756249866,1200812.2406263398
BE,Precious metals production,15711.78899757127,24044.96767546361,457688.70204709616,497445.458720131
BE,Re-processing of secondary preciuos metals into new preciuos metals,15145.898762762627,0.0,0.0,15145.898762762627
BE,Aluminium production,17903.922524734404,244469.54538243805,477447.0235653555,739820.491472528
BE,Re-processing of secondary aluminium into new aluminium,392952.7770103441,9515.784017167223,367962.46314220066,770431.024169712
BE,"Lead, zinc and tin production",35066.84145423693,15.549614996026278,293074.6541144085,328157.0451836414
BE,"Re-processing of secondary lead into new lead, zinc and tin",306162.4423381799,140.91407104917252,324161.25417351734,630464.6105827464
BE,Copper production,18030.706338407887,23038.252635211233,410748.5513099935,451817.5102836126
BE,Re-processing of secondary copper into new copper,19777.82715803854,40226.351911008074,408503.96842646494,468508.14749551157
BE,Other non-ferrous metal production,24258.991845787776,54853.103022639356,743362.795556263,822474.8904246901
BE,Casting of metals,295299.8533533519,8754.158126831073,558858.5304304911,862912.5419106741
BE,"Manufacture of fabricated metal products, except machinery and equipment (28)",25639.7517917763,18148.407641591024,415353.527863492,459141.68729685934
BE,Manufacture of machinery and equipment n.e.c. (29),9978.814771937678,9288.85731754056,344821.8134533273,364089.4855428055
BE,Manufacture of office machinery and computers (30),11066.930613815946,946.7386718289731,174868.31268663818,186881.9819722831
BE,Manufacture of electrical machinery and apparatus n.e.c. (31),30700.4024934769,11658.143546665833,200406.5750954205,242765.12113556324
BE,"Manufacture of radio, television and communication equipment and apparatus (32)",291736.94241734757,21485.959149786824,296622.59057015635,609845.4921372908
BE,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",79673.14323895687,16430.979661232854,293415.1951976805,389519.3180978702
BE,"Manufacture of motor vehicles, trailers and semi-trailers (34)",14852.663891165452,8908.146813004685,324155.535176805,347916.34588097513
BE,Manufacture of other transport equipment (35),482227.28281865513,13215.00305644799,336609.3435416639,832051.629416767
BE,Manufacture of furniture; manufacturing n.e.c. (36),128688.8244558537,5902.117909074795,441889.1749266298,576480.1172915583
BE,Recycling of bottles by direct reuse,1756159.8858363454,3532.3125586083047,328299.4649353866,2087991.6633303403
BE,Production of electricity by coal,7495063.771013546,1163.3556494661234,469828.6805439671,7966055.807206979
BE,Production of electricity by gas,5980431.985889832,2098.0081893624947,256337.00428595298,6238866.998365147
